"homework","student_id","points","correct","feedback","justification"
"du01_1","273","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","534","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","544","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","1500","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","1989","3","false","Výsledné vztahy jsou správné, důkaz však používá polarizační identity v podobě, která už obsahuje dokazované tvrzení. Navíc je v rozvoji normy pro imaginární část chybné znaménko u členu s normou. Důkaz má být uzavřen pouze z definice normy, seskvilinearity a skorosymetrie, se správnými znaménky všech členů.","The final identities are obtained, but the proof invokes polarization formulas that already encode the statements being proved, and the displayed expansion of the imaginary case contains an incorrect sign on the squared-norm term."
"du01_1","2125","3.5","false","Obě výsledné identity máte správně. V imaginární části je ale v jednom mezikroku chybné znaménko při převodu výrazu s i(⟨u,v⟩−̅⟨u,v⟩) na imaginární část; následující odčítání už používá opačné, správné znaménko. Sjednoťte tento mezikrok s konečným výpočtem.","Both target formulas are reached, but one intermediate conversion of the mixed terms in the imaginary-part calculation has the wrong sign; the later subtraction silently uses the corrected sign."
"du01_1","2182","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2202","3.5","false","Myšlenka i oba výsledky jsou správné. U imaginární části však není dostatečně jasně zapsáno vytýkání komplexního skaláru z první složky; právě tam se musí i komplexně sdružit. Doplňte jednoznačný mezikrok pro oba smíšené členy, aby byla znaménka ověřitelná.","The main expansions and conclusions are correct, but the imaginary-part derivation is not fully legible or justified at the scalar-extraction step and omits a clean statement of the conjugate-linearity used in the first slot."
"du01_1","2401","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2464","3","false","Důkaz reálné části je správný. V imaginární části jsou při rozvoji obou norem nekonzistentní znaménka u smíšených členů a není souvisle ukázáno zrušení členů s normami. Zapište oba rozvoje odděleně se správným vytknutím i v první a druhé složce a teprve potom je odečtěte.","The real-part identity is proved correctly, while the imaginary-part expansion contains inconsistent signs and cancellation of the pure norm terms is not shown coherently, despite arriving at the stated result."
"du01_1","2492","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2511","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2518","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2542","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
